titlemeta_ID;titlemeta_author;titlemeta_title;bestseller_author;bestseller_title;bestseller_year;ratio_author;ratio_title
uc1.b4384802;Hurst, Fannie;Back street.;Hurst, Fannie;Back Street;1931;100;96
mdp.39015063740214;Aldrich, Bess Streeter;Miss Bishop ;Aldrich, Bess Streeter;Miss Bishop;1933;100;96
mdp.39015014519741;Lewis, Sinclair;Work of art.;Lewis, Sinclair;Work of Art;1934;100;96
mdp.39015053606771;Morgan, Charles;Sparkenbroke.;Morgan, Charles;Sparkenbroke;1936;100;96
mdp.39015008036983;Hilton, James;Lost horizon.;Hilton, James;Lost Horizon;1935;100;96
uc1.$b86042;Bottome, Phyllis;The mortal storm.;Bottome, Phyllis;The Mortal Storm;1938;100;96
uc1.b3456943;Morley, Christopher;Kitty Foyle.;Morley, Christopher;Kitty Foyle;1939;100;96
uc1.b3456943;Morley, Christopher;Kitty Foyle.;Morley, Christopher;Kitty Foyle;1940;100;96
mdp.39015009059281;Du Maurier, Daphne;Hungry hill.;du Maurier, Daphne;Hungry Hill;1943;100;96
mdp.39015010387036;Winsor, Kathleen;Forever Amber.;Winsor, Kathleen;Forever Amber;1944;100;96
mdp.39015010387036;Winsor, Kathleen;Forever Amber.;Winsor, Kathleen;Forever Amber;1945;100;96
mdp.39015000628977;Langley, Adria Locke;A lion is in the streets, ;Langley, Adria Locke;A Lion Is in the Streets;1945;100;96
uc1.b4384779;Ullman, James Ramsey;The White tower ;Ullman, James Ramsey;The White Tower;1945;100;96
mdp.39015003942086;Goudge, Elizabeth;Pilgrim's inn.;Goudge, Elizabeth;Pilgrim's Inn;1948;100;96
uc1.b3727937;Yerby, Frank;The golden hawk.;Yerby, Frank;The Golden Hawk;1948;100;96
mdp.39015012209816;Bristow, Gwen;Jubilee trail.;Bristow, Gwen;Jubilee Trail;1950;100;96
uc1.b3553065;Shellabarger, Samuel;Lord Vanity.;Shellabarger, Samuel;Lord Vanity;1953;100;96
uc1.b3727443;Williams, Ben Ames;The unconquered.;Williams, Ben Ames;The Unconquered;1953;100;96
mdp.39015008839709;Turnbull, Agnes Sligh;The gown of glory.;Turnbull, Agnes Sligh;The Gown of Glory;1952;100;96
mdp.39015030701042;Keyes, Frances Parkinson;Blue camellia.;Keyes, Frances Parkinson;Blue Camellia;1957;100;96
mdp.39015013019701;Shute, Nevil;On the beach ;Shute, Nevil;On the Beach;1957;100;96
mdp.39015024078910;Gallico, Paul;Mrs. 'Arris goes to Paris  ;Gallico, Paul;Mrs. 'Arris Goes to Paris;1959;100;96
pst.000032220704;Caldwell, Taylor;Dear and glorious physician  ;Caldwell, Taylor;Dear and Glorious Physician;1959;100;96
mdp.39015020668409;Steinbeck, John;The winter of our discontent  ;Steinbeck, John;The Winter of Our Discontent;1961;100;96
