titlemeta_ID;titlemeta_author;titlemeta_title;prize_author;prize_title;prize_date;ratio_author;ratio_title
mdp.39076006258359;Faulkner, William;"The wild palms ; and, The old man  ";Faulkner, William;#matchall;1949;100;25
mdp.39015001687220;Faulkner, William;"Faulkner's county;  ";Faulkner, William;#matchall;1949;100;14
uc1.32106002253513;Hamsun, Knut;"Pan;  from Lieutenant Thomas Glahn'";Hamsun, Knut;#matchall;1920;100;27
mdp.39015000241391;Mann, Thomas;Stories and episodes. ;Mann, Thomas;#matchall;1929;100;13
uc1.b2793542;Faulkner, William;The best of Faulkner  ;Faulkner, William;#matchall;1949;100;22
mdp.39015005058410;Hesse, Hermann;The journey to the Eas;Hesse, Hermann;#matchall;1946;100;22
mdp.39015003343897;Faulkner, William;The town  ;Faulkner, William;#matchall;1949;100;13
mdp.39015003345157;Faulkner, William;Uncle Willy,  ;Faulkner, William;#matchall;1949;100;26
mdp.39076006257930;Faulkner, William;The collected short stories of William Faulkner  ;Faulkner, William;#matchall;1949;100;15
pst.000000033510;Faulkner, William;The Faulkner reader.;Faulkner, William;#matchall;1949;100;16
mdp.39015003343871;Faulkner, William;The mansion.;Faulkner, William;#matchall;1949;100;24
mdp.39015009202154;Undset, Sigrid;Four stories. ;Undset, Sigrid;#matchall;1928;100;9
mdp.49015002994946;Hesse, Hermann;Gertrude. ;Hesse, Hermann;#matchall;1946;100;11
mdp.39015002139965;Mann, Thomas;Stories of a lifetim;Mann, Thomas;#matchall;1929;100;21
uc1.32106014653163;Faulkner, William;Selected short s;Faulkner, William;#matchall;1949;100;16
uc1.32106009699841;Faulkner, William;Three short nove;Faulkner, William;#matchall;1949;100;16
inu.30000123932521;Faulkner, William;The reivers :  a reminiscence  ;Faulkner, William;#matchall;1949;100;11
uc1.32106002105341;Faulkner, William;As I lay dying.;Faulkner, William;#matchall;1949;100;17
pst.000001642902;Faulkner, William;Three famous short nov;Faulkner, William;#matchall;1949;100;19
mdp.39015003343814;Faulkner, William;Mosquitoes :  a novel  ;Faulkner, William;#matchall;1949;100;25
mdp.39015011515031;Gide, André;Urien's voyage ;Gide, André;#matchall;1947;100;8
mdp.39015054056430;Hesse, Hermann;Demian,  the story of;Hesse, Hermann;#matchall;1946;100;27
mdp.39015020680040;Mann, Thomas;Death in Venice. ;Mann, Thomas;#matchall;1929;100;23
mdp.39015010211210;Sillanpää, Frans Eemil;People in the summer night  = Ihmiset suviyössä : an epic suite  ;Sillanpää, Frans Eemil;#matchall;1939;100;11
pst.000005845668;Hamsun, Knut;Growth of the soil, tr. f;Hamsun, Knut;#matchall;1920;100;18
mdp.39015054070571;Hesse, Hermann;"Siddhartha; ";Hesse, Hermann;#matchall;1946;100;38
mdp.49015001238832;Hamsun, Knut;Hunger. ;Hamsun, Knut;#matchall;1920;100;12
uc1.b4375986;Hamsun, Knut;On over-grown paths. ;Hamsun, Knut;#matchall;1920;100;20
mdp.39015003679787;Galsworthy, John;The Galsworthy reader, ;Galsworthy, John;#matchall;1932;100;29
mdp.39015003744078;Hesse, Hermann;Peter Camenzind. ;Hesse, Hermann;#matchall;1946;100;23
wu.89057901589;Gide, André;The Vatican cellars  ;Gide, André;#matchall;1947;100;46
