Author;Clean_name;Google;Wiki_par;Wiki_natio;Wiki_link;Nationality
Thisted, Valdemar Adolph;Thisted Valdemar Adolph;Danish;Danish;;https://en.wikipedia.org/wiki/Valdemar_Adolph_Thisted;Danish
Thanet, Octave;Thanet Octave;American;American;American;https://en.wikipedia.org/wiki/Alice_French;American
Lee, R;Lee R;American;American;;https://en.wikipedia.org/wiki/Harper_Lee;American
Knudsen, Carl W;Knudsen Carl W;;American;;https://en.wikipedia.org/wiki/Michelle_Knudsen;American
Linskill, Mary;Linskill Mary;;English;;https://en.wikipedia.org/wiki/Mary_Linskill;English
Page, Thomas Nelson;Page Thomas Nelson;American;American;;https://en.wikipedia.org/wiki/Thomas_Nelson_Page;American
Emory, A. M;Emory A. M;;;;;
Baldwin, James;Baldwin James;American;American;fictionAfrican-American;https://en.wikipedia.org/wiki/James_Baldwin;fictionAfrican-American
Crawford, Isabella Valancy;Crawford Isabella Valancy;Canadian;Irish;Canadian;https://en.wikipedia.org/wiki/Isabella_Valancy_Crawford;Canadian
[Thisted, Valdemar Adolph];Thisted Valdemar Adolph;Danish;Danish;;https://en.wikipedia.org/wiki/Valdemar_Adolph_Thisted;Danish
W?_gner, Wilhelm;W?_gner Wilhelm;;German;;https://en.wikipedia.org/wiki/Richard_Wagner;German
Berry, Abel B;Berry Abel B;;;;;
Westbury, Hugh;Westbury Hugh;;;;;
Price, Alice;Price Alice;;English;;https://en.wikipedia.org/wiki/Hugo_Vickers;English
Ogden, Ruth;Ogden Ruth;;American;American;https://en.wikipedia.org/wiki/Ruth_Ogden;American
Norway, Arthur H;Norway Arthur H;;Norwegian;Norwegian;https://en.wikipedia.org/wiki/Arthur_Omre;Norwegian
Townsend, Virginia Frances;Townsend Virginia Frances;;American;;https://en.wikipedia.org/wiki/Virginia_Frances_Townsend;American
Pérez Escrich, Enrique;Pérez Escrich Enrique;;;;;
Rāmasvāmi Raju, P. V;Rāmasvāmi Raju P. V;;;;https://en.wikipedia.org/wiki/Telugu_literature;
Rand, Edward A. (Edward Augustus);Edward Augustus Rand;;;;;
Corbett, Julian Stafford, Sir;Corbett Julian Stafford Sir;;British;;https://en.wikipedia.org/wiki/Julian_Corbett;British
Haynes, Emory James;Haynes Emory James;;;;;
Jameson, Margaret;Jameson Margaret;English;English;;https://en.wikipedia.org/wiki/Storm_Jameson;English
Mann, Mary Tyler Peabody;Mann Mary Tyler Peabody;;American;;https://en.wikipedia.org/wiki/Mary_Tyler_Peabody_Mann;American
McNeel, W. M;McNeel W. M;;American;;https://en.wikipedia.org/wiki/W._K._McNeil;American
Preston, H. W. (Harriet Waters);Harriet Waters Preston;;;;;
Damon, Sophie M;Damon Sophie M;;;;;
Spenser, Mary Clare Wilson;Spenser Mary Clare Wilson;;American;;https://en.wikipedia.org/wiki/Mary_C._Spencer;American
Denison, Mary A. (Mary Andrews);Mary Andrews Denison;;American;;https://en.wikipedia.org/wiki/Mary_Andrews_Denison;American
Meyer, Conrad Ferdinand;Meyer Conrad Ferdinand;Swiss;Swiss;Swiss;https://en.wikipedia.org/wiki/Conrad_Ferdinand_Meyer;Swiss
Smith, M. E;Smith M. E;;;;;
Philips, F. C;Philips F. C;;British;;https://en.wikipedia.org/wiki/Francis_Charles_Philips;British
Hopkins, Alphonso A;Hopkins Alphonso A;;;;;
Panton, Jane Ellen;Panton Jane Ellen;;English;;https://en.wikipedia.org/wiki/Jane_Ellen_Panton;English
Farjeon, B. L. (Benjamin Leopold);Benjamin Leopold Farjeon;English;English;;https://en.wikipedia.org/wiki/Benjamin_Farjeon;English
Volkmann, Richard von;Volkmann Richard von;;German;;https://en.wikipedia.org/wiki/Richard_von_Volkmann;German
Eggleston, Edward;Eggleston Edward;American;American;;https://en.wikipedia.org/wiki/Edward_Eggleston;American
Evans, Augusta J. (Augusta Jane);Augusta Jane Evans;American;American;American;https://en.wikipedia.org/wiki/Augusta_Jane_Evans_Wilson;American
Taylor, Benjamin F. (Benjamin Franklin);Benjamin Franklin Taylor;;;;;
Hinman, Wilbur F;Hinman Wilbur F;;;;;
Gunter, Archibald Clavering;Gunter Archibald Clavering;;British-American;;https://en.wikipedia.org/wiki/Archibald_Clavering_Gunter;British-American
Campbell, Archibald;Campbell Archibald;;Scottish;;https://en.wikipedia.org/wiki/Archibald_Campbell_(satirist);Scottish
Philips, M. (Melville);Melville Philips;;;;;
Musick, John R. (John Roy);John Roy Musick;;American;American;https://en.wikipedia.org/wiki/John_R._Musick;American
Wilson, Henry R;Wilson Henry R;;American;;https://en.wikipedia.org/wiki/Henry_Wilson_Allen;American
Craddock, Charles Egbert;Craddock Charles Egbert;American;American;American;https://en.wikipedia.org/wiki/Mary_Noailles_Murfree;American
Harrison, Burton, Mrs;Harrison Burton Mrs;;American;;https://en.wikipedia.org/wiki/Harrison_Burton;American
Service, John;Service John;;American;;https://en.wikipedia.org/wiki/John_Steinbeck;American
Miss Murfree, Mary;Miss Murfree Mary;;American;American;https://en.wikipedia.org/wiki/Mary_Noailles_Murfree;American
Davidson, Hugh Coleman;Davidson Hugh Coleman;;;;;
Fox, S. M;Fox S. M;American;American;American;https://en.wikipedia.org/wiki/Paula_Fox;American
[Altgeld, Emma F.];Altgeld Emma F.;;American;;https://en.wikipedia.org/wiki/John_Peter_Altgeld;American
Lodge, James, Mrs;Lodge James Mrs;;;;;
Gilbert, Rosa M. (Rosa Mulholland);Rosa Mulholland Gilbert;;Irish;Irish;https://en.wikipedia.org/wiki/Rosa_Mulholland;Irish
Caine, Hall, Sir;Caine Hall Sir;;British;British;https://en.wikipedia.org/wiki/Hall_Caine;British
Cunningham, H. S. (Henry Stewart), Sir;Henry Stewart Cunningham;;British;;https://en.wikipedia.org/wiki/H._S._Cunningham;British
Irving, John Treat;Irving John Treat;;American;;https://en.wikipedia.org/wiki/John_Irving;American
Egan, Maurice Francis;Egan Maurice Francis;;;;;
Harbaugh, T. C;Harbaugh T. C;;American;;https://en.wikipedia.org/wiki/Thomas_Chalmers_Harbaugh;American
Wilton, Mark;Wilton Mark;;;;;
Quiller-Couch, Arthur Thomas, Sir;Quiller-Couch Arthur Thomas Sir;;British;British;https://en.wikipedia.org/wiki/Arthur_Quiller-Couch;British
Tappan, Caroline Sturgis;Tappan Caroline Sturgis;American;American;;https://en.wikipedia.org/wiki/Caroline_Sturgis_Tappan;American
Saltus, Edgar;Saltus Edgar;;American;;https://en.wikipedia.org/wiki/Edgar_Saltus;American
Cliffe, Francis Henry;Cliffe Francis Henry;;;;;
Barton, William Eleazar, 1861-1930;Barton William Eleazar 1861-1930;;;;;
Laffan, May;Laffan May;;;;;
Fogerty, J;Fogerty J;;;;;
Cherbuliez, Victor;Cherbuliez Victor;Swiss;German;;https://en.wikipedia.org/wiki/Victor_Cherbuliez;Swiss
Hardy, Iza Duffus;Hardy Iza Duffus;;British;;https://en.wikipedia.org/wiki/Iza_Duffus_Hardy;British
Bayly, Ada Ellen;Bayly Ada Ellen;;English;English;https://en.wikipedia.org/wiki/Ada_Ellen_Bayly;English
[Hartley] M. L, Mrs;Hartley M. L Mrs;;American;;https://en.wikipedia.org/wiki/Mariette_Hartley;American
Wildenbruch, Ernst von;Wildenbruch Ernst von;German;German;;https://en.wikipedia.org/wiki/Ernst_von_Wildenbruch;German
Wynne, Catherine Simpson;Wynne Catherine Simpson;;;;;
Badger, Jos. E. (Joseph Edward);Joseph Edward Badger;;;;;
Chadwick, J. H;Chadwick J. H;;American;;https://en.wikipedia.org/wiki/Chadwick_Boseman;American
Adam, Graeme Mercer;Adam Graeme Mercer;;Canadian;;https://en.wikipedia.org/wiki/Graeme_Mercer_Adam;Canadian
Bangs, John Kendrick;Bangs John Kendrick;American;American;Bangsian;https://en.wikipedia.org/wiki/John_Kendrick_Bangs;Bangsian
Veley, Margaret;Veley Margaret;;British;;https://en.wikipedia.org/wiki/Margaret_Veley;British
O'Meara, Kathleen;O'Meara Kathleen;;Irish;Irish;https://en.wikipedia.org/wiki/Kathleen_O'Meara_(writer);Irish
Majendie, Margaret;Majendie Margaret;;;;;
Dorsey, Anna Hanson;Dorsey Anna Hanson;American;American;American;https://en.wikipedia.org/wiki/Anna_Hanson_Dorsey;American
Hopkins, Alice K;Hopkins Alice K;;;;;
Salter, Peter King;Salter Peter King;;American;;https://en.wikipedia.org/wiki/Peter_King_(sportswriter);American
Kirkland, Joseph;Kirkland Joseph;American;American;;https://en.wikipedia.org/wiki/Joseph_Kirkland;American
Habberton, John;Habberton John;American;American;;https://en.wikipedia.org/wiki/John_Habberton;American
Brown, Alice;Brown Alice;American;American;;https://en.wikipedia.org/wiki/Alice_Brown_(writer);American
Perkins, George;Perkins George;;American;;https://en.wikipedia.org/wiki/George_Perkins_Marsh;American
Barry, William Francis;Barry William Francis;;British;British;https://en.wikipedia.org/wiki/William_Francis_Barry;British
Richards, Laura Elizabeth Howe;Richards Laura Elizabeth Howe;American;American;;https://en.wikipedia.org/wiki/Laura_E._Richards;American
Burnand, F. C. (Francis Cowley), Sir;Francis Cowley Burnand;;English;;https://en.wikipedia.org/wiki/F._C._Burnand;English
Bigg-Wither, G;Bigg-Wither G;;;;https://en.wikipedia.org/wiki/Charles_Bigg_Wither;
Kraszewski, Józef Ignacy;Kraszewski Józef Ignacy;;Polish;Polish;https://en.wikipedia.org/wiki/Józef_Ignacy_Kraszewski;Polish
Gissing, George;Gissing George;English;English;;https://en.wikipedia.org/wiki/George_Gissing;English
Lloyd, Jessie Sale;Lloyd Jessie Sale;;;;;
De Kroyft, Helen (Aldrich), Mrs;Aldrich De Kroyft;;;;;
Curtois, Margaret Anne;Curtois Margaret Anne;;;;;
Barr, Amelia E;Barr Amelia E;;;;;
Robinson, Rowland Evans;Robinson Rowland Evans;;American;;https://en.wikipedia.org/wiki/Rowland_Robinson;American
Mulholland, Clara;Mulholland Clara;;French;;https://en.wikipedia.org/wiki/Clara_Mulholland;French
Jennings, N. A;Jennings N. A;;English;Australian;https://en.wikipedia.org/wiki/Paul_Jennings_(Australian_author);Australian
Frith, William Powell;Frith William Powell;English;English;British;https://en.wikipedia.org/wiki/William_Powell_Frith;British
Hedrick, Mary A;Hedrick Mary A;;;;;
[Knapp, Katharine];Knapp Katharine;;;;;
Maimon, Salomon;Maimon Salomon;;German;;https://en.wikipedia.org/wiki/Salomon_Maimon;German
Dickinson, J;Dickinson J;American;American;;https://en.wikipedia.org/wiki/Emily_Dickinson;American
Gordon, Armistead C. (Armistead Churchill);Armistead Churchill Gordon;;;;https://en.wikipedia.org/wiki/Armistead_C._Gordon;
Enault, Louis;Enault Louis;French;French;;https://en.wikipedia.org/wiki/Louis_Renault_(jurist);French
Hillam, S. A;Hillam S. A;;;;;
Nobody;Nobody;American;American;;https://en.wikipedia.org/wiki/Derek_Kolstad;American
Manuel, Don Juan;Manuel Don Juan;;Spanish;;https://en.wikipedia.org/wiki/Don_Juan_Manuel;Spanish
Colerick, E. Fenwick;Colerick E. Fenwick;;;;;
Owen, Catherine;Owen Catherine;Canadian;Canadian;;https://en.wikipedia.org/wiki/Catherine_Owen_(writer);Canadian
Post, C. C. (Charles Clement);Charles Clement Post;;;;;
Turner, Edward F;Turner Edward F;;English;;https://en.wikipedia.org/wiki/Edward_Turner_Bennett;English
Arnold, Edwin Lester Londen;Arnold Edwin Lester Londen;;English;;https://en.wikipedia.org/wiki/Edwin_Lester_Arnold;English
Sharp, William;Sharp William;;Scottish;Scottish;https://en.wikipedia.org/wiki/William_Sharp_(writer);Scottish
Cracraft, Louise Dudley;Cracraft Louise Dudley;;;;;
Craigie, Mary E;Craigie Mary E;;;;;
Thornhill, Mark;Thornhill Mark;;;;;
Worthington, Elizabeth Strong;Worthington Elizabeth Strong;;American;American;https://en.wikipedia.org/wiki/Elizabeth_Strong_Worthington;American
Waterloo, Stanley;Waterloo Stanley;American;American;American;https://en.wikipedia.org/wiki/Stanley_Waterloo;American
Storm, Theodor;Storm Theodor;;German;;https://en.wikipedia.org/wiki/Theodor_Storm;German
Messmer, John J;Messmer John J;;;;;
Hughes, Thomas;Hughes Thomas;;English;English;https://en.wikipedia.org/wiki/Thomas_Hughes;English
Whiteing, Richard;Whiteing Richard;;American;;https://en.wikipedia.org/wiki/Richard_White_(historian);American
Lear, Edward;Lear Edward;English;English;British;https://en.wikipedia.org/wiki/Edward_Lear;British
Clouston, W. A. (William Alexander);William Alexander Clouston;;Scotch;;https://en.wikipedia.org/wiki/William_Alexander_Clouston;Scotch
Riley, James Whitcomb;Riley James Whitcomb;American;American;;https://en.wikipedia.org/wiki/James_Whitcomb_Riley;American
Clarke, James Freeman;Clarke James Freeman;;American;;https://en.wikipedia.org/wiki/James_Freeman_Clarke;American
Richardson, Benjamin Ward;Richardson Benjamin Ward;British;British;British;https://en.wikipedia.org/wiki/Benjamin_Ward_Richardson;British
Lansing, Jenny H. Stickney;Lansing Jenny H. Stickney;;;;;
Johnson, Phil;Johnson Phil;;;;;
Nitsch, Helen Alice Matthews;Nitsch Helen Alice Matthews;;;;;
Wilbrandt, Adolf;Wilbrandt Adolf;German;German;;https://en.wikipedia.org/wiki/Adolf_Wilbrandt;German
Morris, Robert;Morris Robert;British;British;British;https://en.wikipedia.org/wiki/David_Gwilym_Morris_Roberts;British
Troubetzkoy, Amélie (Rives) Chanler;Rives Troubetzkoy;American;American;American;https://en.wikipedia.org/wiki/Amélie_Rives_Troubetzkoy;American
Collyer, Robert;Collyer Robert;American;English;;https://en.wikipedia.org/wiki/Robert_Collyer;American
Baker, George M;Baker George M;American;American;;https://en.wikipedia.org/wiki/George_Baker_(art_historian);American
Lothrop, Harriett Mulford Stone;Lothrop Harriett Mulford Stone;;American;;https://en.wikipedia.org/wiki/Harriett_Lothrop;American
